name,name_es,category,price_eur,price_credits,duration,location,provider,commission_percentage,description,description_es,features,features_es,integration_type,is_featured,active
"Grand Tour Lanzarote (Timanfaya + Jameos + La Geria)","Gran Tour Lanzarote (Timanfaya + Jameos + La Geria)",excursions,65,10,"7-8 hours","Hotel pickup","Lanzarote Experience Tours",20,"Complete island tour covering Timanfaya National Park, Jameos del Agua, and La Geria wine region. Full day with guide and transport.","Tour completo de la isla incluyendo Parque Nacional de Timanfaya, Jameos del Agua y region vinicola de La Geria. Dia completo con guia y transporte.","Full day tour|Expert guide|Lunch included|3 iconic stops","Tour dia completo|Guia experto|Almuerzo incluido|3 paradas iconicas",manual,true,true
"South Tour (Timanfaya + La Geria)","Tour del Sur (Timanfaya + La Geria)",excursions,38,6,"4-5 hours","Hotel pickup","OkLanzarote",18,"Half-day tour to the volcanic south. Visit Timanfaya fire mountains and taste wines in La Geria volcanic vineyards.","Tour de medio dia al sur volcanico. Visita las montanas de fuego de Timanfaya y degusta vinos en los vinedos volcanicos de La Geria.","Half-day|Timanfaya entry|Wine tasting|Bus transport","Medio dia|Entrada Timanfaya|Cata de vinos|Transporte bus",manual,true,true
"Whale & Dolphin Watching Eco Catamaran","Avistamiento de Ballenas y Delfines Eco Catamaran",excursions,55,8,"2.5 hours","Puerto Calero","Club Canary",22,"Eco-friendly catamaran cruise to spot whales and dolphins in their natural habitat. First electric catamaran in the Canary Islands.","Crucero en catamaran ecologico para avistar ballenas y delfines en su habitat natural. Primer catamaran electrico de Canarias.","Eco-friendly|Marine biologist|Drinks included|High success rate","Ecologico|Biologo marino|Bebidas incluidas|Alta tasa avistamiento",manual,true,true
"Kayak & Snorkel Papagayo","Kayak y Snorkel Papagayo",adventure,45,7,"2-3 hours","Playa Blanca","H2O Sports Lanzarote",20,"Paddle through crystal-clear waters to the famous Papagayo beaches. Snorkeling equipment and guide included.","Rema por aguas cristalinas hasta las famosas playas de Papagayo. Equipo de snorkel y guia incluidos.","Kayak + Snorkel|Guide|Equipment included|Papagayo beaches","Kayak + Snorkel|Guia|Equipo incluido|Playas Papagayo",manual,true,true
"Buggy Volcano Tour","Buggy Tour Volcanico",adventure,90,14,"2-3 hours","Hotel pickup","Low Cost Tours Lanzarote",18,"Drive your own buggy through volcanic landscapes and off-road trails. Helmets and insurance included.","Conduce tu propio buggy por paisajes volcanicos y caminos off-road. Cascos y seguro incluidos.","Drive your own buggy|Volcanic trails|Helmets included|Insurance","Conduce tu buggy|Rutas volcanicas|Cascos incluidos|Seguro",manual,true,true
"Jet Ski Experience","Experiencia en Moto de Agua",adventure,55,8,"40 minutes","Playa Blanca","H2O Sports Lanzarote",20,"High-speed jet ski ride along the coast of Playa Blanca with stunning views of Fuerteventura.","Paseo en moto de agua a alta velocidad por la costa de Playa Blanca con vistas impresionantes de Fuerteventura.","40 min ride|Safety briefing|Life jacket|Fuerteventura views","40 min|Briefing seguridad|Chaleco salvavidas|Vistas Fuerteventura",manual,false,true
"Self-Drive Boat (No License)","Barco Sin Licencia",adventure,80,12,"2 hours","Puerto del Carmen","Ocean Adventures",18,"Explore the coast at your own pace in a self-drive boat. No license required. Up to 6 people.","Explora la costa a tu ritmo en un barco sin licencia. No se requiere titulacion. Hasta 6 personas.","No license needed|Up to 6 people|2 hours|Explore freely","Sin licencia|Hasta 6 personas|2 horas|Explora libremente",manual,false,true
"Wine Tour La Geria (4 Wineries)","Tour del Vino La Geria (4 Bodegas)",culture,65,10,"5 hours","Hotel pickup","Feeling Lanzarote Tours",22,"Visit 4 traditional volcanic wineries in La Geria. Taste Malvasia wines and learn about unique cultivation methods.","Visita 4 bodegas volcanicas tradicionales en La Geria. Degusta vinos Malvasia y aprende sobre los metodos unicos de cultivo.","4 wineries|Wine tasting|Tapas|Expert guide","4 bodegas|Cata de vinos|Tapas|Guia experto",manual,true,true
"Cesar Manrique Art & Architecture Tour","Tour Arte y Arquitectura Cesar Manrique",culture,48,7,"4 hours","Hotel pickup","CANCO Travel",20,"Discover the artistic legacy of Cesar Manrique. Visit Fundacion Cesar Manrique, Jardin de Cactus, and Mirador del Rio.","Descubre el legado artistico de Cesar Manrique. Visita Fundacion Cesar Manrique, Jardin de Cactus y Mirador del Rio.","3 Manrique sites|Entry tickets|Guide|Transport","3 sitios Manrique|Entradas|Guia|Transporte",manual,true,true
"Volcano Dinner at Timanfaya","Cena Volcanica en Timanfaya",dining,85,13,"4 hours","Hotel pickup","Lanzarote Experience Tours",25,"Exclusive evening tour to Timanfaya with dinner cooked over volcanic heat. Sunset views over the fire mountains.","Tour exclusivo nocturno a Timanfaya con cena cocinada sobre calor volcanico. Vistas del atardecer sobre las montanas de fuego.","Volcano-cooked dinner|Sunset views|Premium experience|Wine included","Cena cocinada en volcan|Vistas atardecer|Experiencia premium|Vino incluido",manual,true,true
"Submarine Lanzarote","Submarino Lanzarote",attractions,30,5,"1 hour","Puerto Calero","Submarine Safaris",15,"Descend to 30 meters in a real submarine and explore the underwater world of Lanzarote. See marine life and shipwrecks.","Desciende a 30 metros en un submarino real y explora el mundo submarino de Lanzarote. Ve vida marina y pecios.","Real submarine|30m depth|Marine life|Family friendly","Submarino real|30m profundidad|Vida marina|Familiar",manual,false,true
"Aqualava Waterpark","Aqualava Parque Acuatico",attractions,22,3,"Full day","Playa Blanca","Aqualava Waterpark",12,"Lanzarote's main water park with slides, pools, and relaxation areas. Fun for the whole family.","Principal parque acuatico de Lanzarote con toboganes, piscinas y zonas de relax. Diversion para toda la familia.","Water slides|Wave pool|Kids area|Sunbeds included","Toboganes|Piscina de olas|Zona infantil|Hamacas incluidas",manual,false,true
"Rancho Texas Animal Park","Rancho Texas Parque Animal",attractions,25,4,"Full day","Puerto del Carmen","Rancho Texas",12,"Animal and nature park with shows, pool, and encounters. Sea lions, dolphins, parrots, and more.","Parque animal y natural con espectaculos, piscina y encuentros. Leones marinos, delfines, loros y mas.","Animal shows|Pool access|Sea lion encounter|Family park","Espectaculos animales|Acceso piscina|Encuentro leones marinos|Parque familiar",manual,false,true
"Airport Transfer Sedan (1-3 pax)","Transfer Aeropuerto Sedan (1-3 pax)",transfers,35,5,"25-40 minutes","Lanzarote Airport ACE","Premium Transfers Lanzarote",20,"Private sedan transfer from Lanzarote airport to any hotel. Meet & greet, flight tracking, and luggage assistance.","Transfer privado en sedan desde aeropuerto de Lanzarote a cualquier hotel. Recepcion, seguimiento de vuelo y asistencia equipaje.","Private sedan|Meet & greet|Flight tracking|Door to door","Sedan privado|Recepcion|Seguimiento vuelo|Puerta a puerta",manual,true,true
"Airport Transfer Minivan (4-7 pax)","Transfer Aeropuerto Minivan (4-7 pax)",transfers,55,8,"25-40 minutes","Lanzarote Airport ACE","Premium Transfers Lanzarote",20,"Private minivan transfer for groups and families. Comfortable Mercedes van with child seats available.","Transfer privado en minivan para grupos y familias. Furgoneta Mercedes comoda con sillas infantiles disponibles.","Minivan 7 seats|Child seats|Luggage space|Mercedes van","Minivan 7 plazas|Sillas infantiles|Espacio equipaje|Furgoneta Mercedes",manual,true,true
"Economy Car Rental (Fiat 500 or similar)","Alquiler Coche Economico (Fiat 500 o similar)",car_rental,25,4,"1-7 days","Hotel delivery","Cicar Lanzarote",12,"Affordable economy car with full insurance. Free delivery to your hotel. GPS and child seats available.","Coche economico con seguro completo. Entrega gratis en tu hotel. GPS y sillas infantiles disponibles.","Full insurance|Hotel delivery|GPS available|Unlimited km","Seguro completo|Entrega hotel|GPS disponible|Km ilimitados",api,false,true
"SUV Rental (Nissan Qashqai or similar)","Alquiler SUV (Nissan Qashqai o similar)",car_rental,45,7,"1-7 days","Hotel delivery","Cicar Lanzarote",12,"Spacious SUV perfect for exploring the island. Full insurance, unlimited mileage, and hotel delivery.","SUV espacioso perfecto para explorar la isla. Seguro completo, kilometraje ilimitado y entrega en hotel.","SUV|Full insurance|Unlimited km|Hotel delivery","SUV|Seguro completo|Km ilimitados|Entrega hotel",api,false,true
"Convertible Rental (VW T-Roc Cabrio or similar)","Alquiler Descapotable (VW T-Roc Cabrio o similar)",car_rental,65,10,"1-7 days","Hotel delivery","Cabrera Medina",15,"Experience Lanzarote with the top down. Full insurance and unlimited mileage included.","Experimenta Lanzarote con el techo abierto. Seguro completo y kilometraje ilimitado incluidos.","Convertible|Full insurance|Unlimited km|Premium experience","Descapotable|Seguro completo|Km ilimitados|Experiencia premium",api,true,true
"E-Scooter Rental","Alquiler Patinete Electrico",car_rental,15,2,"Full day","Puerto del Carmen center","Island Bikes",18,"Eco-friendly way to explore Puerto del Carmen. Helmet and lock included. Phone holder with map.","Forma ecologica de explorar Puerto del Carmen. Casco y candado incluidos. Soporte movil con mapa.","Electric scooter|Helmet|Lock|Phone holder","Patinete electrico|Casco|Candado|Soporte movil",manual,false,true
"Senderismo Parque Natural Volcanes","Hiking Volcanic Natural Park",adventure,35,5,"3-4 hours","Hotel pickup","Feeling Lanzarote Tours",20,"Guided hike through the volcanic natural park with expert local guide. Moderate difficulty, stunning views.","Senderismo guiado por el parque natural volcanico con guia local experto. Dificultad moderada, vistas impresionantes.","Expert guide|3-4 hours|Moderate level|Water included","Guia experto|3-4 horas|Nivel moderado|Agua incluida",manual,false,true
"Parasailing Playa Blanca","Parasailing Playa Blanca",adventure,50,8,"15-20 minutes","Playa Blanca","H2O Sports Lanzarote",20,"Fly over the turquoise waters of Playa Blanca. Solo or tandem flights. Views of Fuerteventura included.","Vuela sobre las aguas turquesas de Playa Blanca. Vuelos individuales o tandem. Vistas de Fuerteventura incluidas.","15-20 min flight|Solo or tandem|Safety gear|Fuerteventura views","15-20 min vuelo|Solo o tandem|Equipo seguridad|Vistas Fuerteventura",manual,false,true
"Full Day Fuerteventura Trip","Excursion Dia Completo a Fuerteventura",excursions,75,12,"10 hours","Hotel pickup + Ferry","CANCO Travel",20,"Day trip to neighboring Fuerteventura. Ferry crossing, guided tour of main attractions, and free time on Corralejo dunes.","Excursion de dia a Fuerteventura. Travesia en ferry, tour guiado de atracciones principales y tiempo libre en dunas de Corralejo.","Ferry included|Guided tour|Corralejo dunes|Full day","Ferry incluido|Tour guiado|Dunas Corralejo|Dia completo",manual,true,true
"Comedy Drag Night Show","Espectaculo Comedy Drag Night",nightlife,40,6,"2 hours","Avenida de las Playas","Puerto del Carmen Entertainment",18,"The legendary drag comedy show of Puerto del Carmen. Dinner option available. Hilarious entertainment for adults.","El legendario espectaculo de comedia drag de Puerto del Carmen. Opcion cena disponible. Entretenimiento hilarante para adultos.","Live show|Drinks included|Dinner option|Adults only","Show en vivo|Bebidas incluidas|Opcion cena|Solo adultos",manual,true,true
"Lanzarote by Night Food Tour","Lanzarote de Noche Tour Gastronomico",dining,60,9,"3.5 hours","Puerto del Carmen","Lanzarote Food Tours",22,"Evening walking food tour through hidden local restaurants. 4 stops with wine pairings and live music surprise.","Tour gastronomico nocturno a pie por restaurantes locales escondidos. 4 paradas con maridaje de vinos y sorpresa de musica en vivo.","4 restaurant stops|Wine pairings|Live music|Local secrets","4 paradas restaurantes|Maridaje vinos|Musica en vivo|Secretos locales",manual,true,true
"SUP Paddleboard Rental","Alquiler Stand Up Paddleboard",beach,20,3,"2 hours","Playa Grande, Puerto del Carmen","Beach Club Puerto del Carmen",18,"Stand Up Paddleboard rental with brief instruction. Explore the coast of Puerto del Carmen from the water.","Alquiler de Stand Up Paddleboard con instruccion breve. Explora la costa de Puerto del Carmen desde el agua.","Board + paddle|Brief lesson|Life jacket|2 hours","Tabla + remo|Leccion breve|Chaleco|2 horas",manual,false,true
"E-Paddleboard + Snorkel Papagayo","E-Paddleboard + Snorkel Papagayo",beach,65,10,"2 hours","Playa Blanca","H2O Sports Lanzarote",22,"Electric paddleboard experience to Papagayo coves with snorkeling stops. Emerging trend — SUP with motor assist.","Experiencia en paddleboard electrico hasta las calas de Papagayo con paradas de snorkel. Tendencia emergente — SUP con asistencia de motor.","Electric SUP|Snorkel gear|Papagayo coves|No experience needed","SUP electrico|Equipo snorkel|Calas Papagayo|Sin experiencia previa",manual,true,true